Batch_ID,Product,Manufacturing_Line,Batch_Date,Year,Operator_Team,Temperature_C,Humidity_Percent,Mixing_Speed_RPM,Mixing_Time_Minutes,Production_Time_Hours,API_Assay_Percent,pH,Viscosity_cP,Dissolution_30min_Percent,Yield_Percent,Batch_Status,Failure_Flag,Deviation_Flag,Deviation_Rate_Flag,Deviation_Type,Deviation_Severity
B001613,COX-2 Inhibitor,Line 3,27-Nov-2024,2024,Team D,22.30,45.13,324.00,39.00,6.75,99.25,6.65,112.10,89.88,92.33,Pass,0,No,0,None,None
B000736,COX-2 Inhibitor,Line 3,14-May-2024,2024,Team A,23.21,42.42,358.00,52.90,7.41,99.11,,117.60,86.92,89.45,Pass,0,Yes,1,Equipment,Minor
B001121,COX-2 Inhibitor,Line 3,12-Mar-2024,2024,Team A,22.21,37.84,363.00,53.60,7.18,99.13,6.50,140.30,85.87,89.63,Pass,0,No,0,None,None
B002798,GLP-1 Agonist,Line 3,21-Aug-2024,2024,Team D,20.91,37.19,345.00,50.00,9.40,98.67,6.58,143.10,84.79,97.88,Pass,0,No,0,None,None
B001181,COX-2 Inhibitor,Line 3,14-Apr-2024,2024,Team C,23.44,42.48,320.00,19.80,5.90,98.69,6.70,98.00,92.55,89.81,Pass,0,No,0,None,None
B001219,COX-2 Inhibitor,Line 3,21-Sep-2024,2024,Team B,21.23,46.57,345.00,49.00,6.10,99.61,6.95,120.90,88.57,90.19,Pass,0,No,0,None,None
B001842,COX-2 Inhibitor,Line 2,23-Jul-2024,2024,Team D,21.41,48.70,304.00,29.40,7.33,99.30,6.57,120.60,87.11,90.51,Pass,0,No,0,None,None
B000349,COX-2 Inhibitor,Line 3,11-Sep-2024,2024,Team D,21.74,41.94,326.00,26.90,6.97,99.25,6.75,94.50,92.94,90.55,Pass,0,No,0,None,None
B002463,Antidepressant,Line 1,16-Jan-2024,2024,Team A,22.40,38.00,301.00,42.60,6.22,99.06,6.82,126.60,88.31,97.52,Pass,0,No,0,None,None
B002557,Antidepressant,Line 1,08-Aug-2024,2024,Team C,21.32,36.46,305.00,40.10,6.27,98.73,6.85,119.70,86.19,97.49,Pass,0,No,0,None,None
B001882,COX-2 Inhibitor,Line 2,12-Jul-2025,2025,Team C,22.15,45.68,334.00,50.50,6.97,98.90,6.93,128.10,86.67,90.74,Pass,0,No,0,None,None
B002684,COX-2 Inhibitor,Line 2,10-Apr-2024,2024,Team B,22.37,44.73,341.00,51.30,7.13,99.34,6.88,136.90,91.07,90.87,Pass,0,No,0,None,None
B000121,COX-2 Inhibitor,Line 1,06-Oct-2025,2025,Team C,23.09,35.04,344.00,30.70,6.94,99.12,6.56,111.20,92.24,90.88,Pass,0,No,0,None,None
B002380,COX-2 Inhibitor,Line 3,26-Aug-2025,2025,Team C,22.27,37.76,335.00,42.60,8.42,99.32,6.63,116.50,85.07,91.24,Pass,0,No,0,None,None
B000004,COX-2 Inhibitor,Line 3,19-Jun-2025,2025,Team A,22.76,40.59,339.00,29.50,6.33,98.87,6.63,117.40,89.08,91.32,Pass,0,Yes,1,Equipment,Major
B001689,COX-2 Inhibitor,Line 3,07-Feb-2025,2025,Team B,22.09,38.85,387.00,25.70,6.28,98.83,6.69,110.00,90.57,91.32,Pass,0,Yes,1,Process,Critical
B002710,COX-2 Inhibitor,Line 2,03-Feb-2025,2025,Team B,22.48,55.08,383.00,27.00,6.17,98.80,6.94,116.90,91.17,91.36,Pass,0,No,0,None,None
B002959,Antidepressant,Line 2,01-Aug-2024,2024,Team B,22.14,49.75,314.00,45.90,6.68,98.67,6.66,138.20,85.43,97.23,Pass,0,No,0,None,None
B001844,AED,Line 2,08-Sep-2025,2025,Team D,24.14,39.40,306.00,45.30,7.50,99.13,6.99,125.50,87.38,97.13,Pass,0,No,0,None,None
B000969,COX-2 Inhibitor,Line 2,16-Mar-2025,2025,Team A,24.02,46.60,363.00,31.30,6.99,98.73,6.97,104.10,90.42,91.44,Pass,0,No,0,None,None
B002712,Antidepressant,Line 2,14-May-2024,2024,Team B,22.36,35.68,350.00,40.00,6.84,99.38,6.68,119.70,85.70,97.11,Pass,0,No,0,None,None
B001548,COX-2 Inhibitor,Line 1,14-Jun-2025,2025,Team D,22.81,33.96,368.00,52.90,6.24,99.69,6.64,122.70,87.28,91.51,Pass,0,No,0,None,None
B000742,Antidepressant,Line 1,25-Jan-2024,2024,Team D,20.84,43.66,327.00,44.60,6.95,99.48,6.73,125.90,90.93,97.08,Pass,0,No,0,None,None
B000953,Antidepressant,Line 3,18-Aug-2025,2025,Team D,21.10,49.01,332.00,42.20,6.61,98.89,7.08,142.40,87.56,97.08,Pass,0,No,0,None,None
B002643,COX-2 Inhibitor,Line 3,05-Mar-2024,2024,Team C,22.19,50.04,328.00,41.40,6.82,98.93,6.86,107.60,87.02,91.56,Pass,0,No,0,None,None
B001538,COX-2 Inhibitor,Line 3,18-Jun-2025,2025,Team D,22.23,39.71,359.00,27.00,7.59,99.09,6.68,113.30,92.01,91.59,Failed,1,No,0,None,None
B001611,Antidepressant,Line 3,01-Sep-2025,2025,Team B,20.82,33.14,334.00,40.60,6.84,99.46,6.53,129.30,86.55,97.06,Pass,0,No,0,None,None
B001231,Antidepressant,Line 3,24-Jun-2025,2025,Team C,21.82,37.90,325.00,39.10,8.20,98.81,6.69,134.70,84.13,97.04,Failed,1,No,0,None,None
B002647,COX-2 Inhibitor,Line 2,04-Jul-2025,2025,Team D,22.88,48.46,336.00,50.80,7.23,99.04,6.72,121.00,87.59,91.64,Pass,0,No,0,None,None
B002963,Antidepressant,Line 2,17-Sep-2025,2025,Team B,22.14,39.76,298.00,41.20,6.64,99.04,6.70,121.70,90.16,97.02,Pass,0,No,0,None,None
B000549,COX-2 Inhibitor,Line 1,13-Aug-2024,2024,Team A,22.19,41.04,296.00,28.40,6.06,99.12,6.50,109.80,88.47,91.66,Pass,0,No,0,None,None
B002332,GLP-1 Agonist,Line 3,24-Apr-2025,2025,Team B,,42.86,285.00,48.70,8.43,98.91,7.18,132.90,80.26,96.93,Pass,0,No,0,None,None
B001148,AED,Line 3,24-Nov-2024,2024,Team C,22.39,46.96,314.00,44.80,7.94,98.51,7.00,144.30,85.33,96.91,Pass,0,No,0,None,None
B001344,COX-2 Inhibitor,Line 1,19-May-2025,2025,Team B,21.64,43.43,314.00,43.20,5.46,99.47,6.58,122.90,,91.66,Pass,0,Yes,1,Material,Minor
B002188,COX-2 Inhibitor,Line 2,29-Nov-2024,2024,Team D,22.54,49.39,339.00,45.90,6.10,98.76,6.98,124.30,88.56,91.67,Pass,0,No,0,None,None
B002739,COX-2 Inhibitor,Line 3,29-Dec-2024,2024,Team D,22.14,47.23,339.00,35.40,6.80,99.11,6.90,125.10,89.12,91.67,Pass,0,No,0,None,None
B001790,Antidepressant,Line 3,14-Feb-2024,2024,Team A,22.08,37.43,350.00,41.90,8.52,98.93,6.53,132.30,87.35,96.85,Pass,0,No,0,None,None
B001979,COX-2 Inhibitor,Line 3,25-Mar-2024,2024,Team C,23.00,48.11,346.00,47.00,6.85,98.65,6.90,136.30,89.18,91.74,Pass,0,No,0,None,None
B002735,Antidepressant,Line 1,05-Sep-2025,2025,Team D,22.81,41.46,326.00,42.70,6.99,98.80,6.83,122.20,86.37,96.82,Pass,0,No,0,None,None
B000645,COX-2 Inhibitor,Line 1,12-Nov-2025,2025,Team C,23.02,45.89,335.00,22.80,6.60,99.27,6.82,89.00,91.79,91.75,Pass,0,No,0,None,None
B000466,COX-2 Inhibitor,Line 3,01-Sep-2024,2024,Team D,21.55,42.64,344.00,49.70,7.16,99.15,6.91,127.00,85.46,91.77,Pass,0,No,0,None,None
B001642,Antidepressant,Line 1,27-Jan-2024,2024,Team C,22.00,44.27,359.00,47.80,6.97,99.45,6.93,126.70,86.99,96.79,Pass,0,No,0,None,None
B002758,COX-2 Inhibitor,Line 2,05-May-2024,2024,Team B,23.05,44.03,330.00,45.00,6.53,99.11,6.78,126.60,91.11,91.84,Pass,0,No,0,None,None
B001975,Antidepressant,Line 2,16-Jul-2025,2025,Team D,22.42,45.89,320.00,42.30,6.56,98.89,6.80,133.10,88.11,96.77,Pass,0,No,0,None,None
B000165,COX-2 Inhibitor,Line 2,21-Feb-2025,2025,Team A,22.88,45.83,355.00,54.50,6.40,99.56,,134.60,82.43,91.90,Pass,0,No,0,None,None
B001628,Antidepressant,Line 1,13-Aug-2024,2024,Team A,21.76,42.35,315.00,37.30,5.94,98.97,6.76,129.50,87.84,96.74,Pass,0,No,0,None,None
B002473,COX-2 Inhibitor,Line 3,05-Jul-2025,2025,Team D,22.67,41.38,364.00,28.90,7.05,98.72,6.75,125.90,87.29,91.91,Pass,0,No,0,None,None
B001101,Antidepressant,Line 1,21-Oct-2025,2025,Team B,22.01,42.57,328.00,40.20,7.43,99.09,6.82,127.60,90.14,96.72,Pass,0,No,0,None,None
B002887,Antidepressant,Line 1,12-Jul-2024,2024,Team C,22.04,43.92,361.00,40.40,7.39,99.27,6.93,128.10,87.63,96.71,Pass,0,No,0,None,None
B001147,COX-2 Inhibitor,Line 1,27-Sep-2024,2024,Team B,22.47,45.86,363.00,43.20,7.42,99.80,6.70,135.70,88.66,91.92,Pass,0,No,0,None,None
B002176,COX-2 Inhibitor,Line 1,16-Nov-2024,2024,Team B,23.14,41.47,335.00,40.00,7.46,99.43,6.79,105.90,91.34,91.92,Pass,0,No,0,None,None
B001486,Antidepressant,Line 1,28-Dec-2025,2025,Team A,23.03,40.56,274.00,41.20,7.12,98.96,6.70,110.30,89.64,96.65,Pass,0,No,0,None,None
B000770,COX-2 Inhibitor,Line 2,13-Feb-2024,2024,Team A,20.53,39.70,317.00,47.30,7.65,99.41,6.70,114.80,88.98,91.93,Pass,0,No,0,None,None
B002958,Antidepressant,Line 1,08-Jun-2025,2025,Team B,20.78,36.88,315.00,48.10,6.76,99.30,6.52,132.30,88.90,96.62,Pass,0,No,0,None,None
B000718,Antidepressant,Line 3,07-Sep-2025,2025,Team C,21.87,34.65,318.00,42.20,7.61,98.48,6.72,121.40,87.07,96.61,Pass,0,No,0,None,None
B002906,COX-2 Inhibitor,Line 3,28-Aug-2024,2024,Team B,21.90,39.02,347.00,41.70,5.98,98.83,6.60,116.30,88.88,91.96,Pass,0,No,0,None,None
B001441,Antidepressant,Line 1,24-Nov-2025,2025,Team D,23.04,43.03,369.00,41.30,7.64,99.85,6.86,120.20,87.40,96.61,Pass,0,No,0,None,None
B001346,COX-2 Inhibitor,Line 3,08-Mar-2025,2025,Team C,22.83,41.13,328.00,41.60,7.31,99.05,6.58,120.30,84.64,92.01,Pass,0,No,0,None,None
